area,area_type,group_value,records,avg_predicted,actual_hit_rate,actual_minus_predicted,smoothed_hit_rate,smoothed_edge,stake_units,profit_units,roi,avg_price,avg_clv_percent,beat_close_rate,reliability,brier,memory_type,importance,action
Market: estimated_score,market_type,estimated_score,56,0.6,0.767857,0.167857,0.746875,0.146875,56.0,30.0,0.535714,,,,0.870982,0.206429,market_type,0.69375,raise_trust
Probability source: fallback_medium_confidence,probability_source,fallback_medium_confidence,67,0.6,0.746269,0.146269,0.730667,0.130667,67.0,33.0,0.492537,,,,0.868284,0.210746,probability_source,0.661333,raise_trust
Probability bucket: 60-70%,probability_bucket,60-70%,75,0.605147,0.733333,0.128187,0.720978,0.115831,75.0,32.7751,0.437001,1.544388,,,0.86625,0.214,probability_bucket,0.631663,raise_trust
Sport: FIFA World Cup,sport,FIFA World Cup,19,0.6,0.736842,0.136842,0.696296,0.096296,19.0,9.0,0.473684,,,,0.736161,0.212632,sport,0.368731,raise_trust
FIFA World Cup / 60-70%,sport_probability_bucket,FIFA World Cup|60-70%,19,0.6,0.736842,0.136842,0.696296,0.096296,19.0,9.0,0.473684,,,,0.736161,0.212632,sport_probability_bucket,0.368731,raise_trust
FIFA World Cup / estimated_score,sport_market,FIFA World Cup|estimated_score,19,0.6,0.736842,0.136842,0.696296,0.096296,19.0,9.0,0.473684,,,,0.736161,0.212632,sport_market,0.368731,raise_trust
Probability source: final_probability,probability_source,final_probability,13,0.716846,0.538462,-0.178385,0.606418,-0.110429,13.0,-2.7749,-0.213454,1.415777,,,0.622932,0.313969,probability_source,0.298651,lower_trust
Bookmaker: consensus_average,bookmaker,consensus_average,13,0.716846,0.538462,-0.178385,0.606418,-0.110429,13.0,-2.7749,-0.213454,1.415777,,,0.622932,0.313969,bookmaker,0.298651,lower_trust
Confidence/read: play_small,confidence,play_small,13,0.716846,0.538462,-0.178385,0.606418,-0.110429,13.0,-2.7749,-0.213454,1.415777,,,0.622932,0.313969,confidence,0.298651,lower_trust
Books: 11+,books_bucket,11+,13,0.716846,0.538462,-0.178385,0.606418,-0.110429,13.0,-2.7749,-0.213454,1.415777,,,0.622932,0.313969,books_bucket,0.298651,lower_trust
API coverage: 66-99%,api_coverage_bucket,66-99%,11,0.726818,0.545455,-0.181364,0.621818,-0.105,11.0,-2.3189,-0.210809,1.398282,,,0.598695,0.318247,api_coverage_bucket,0.263438,lower_trust
MLB / 60-70%,sport_probability_bucket,MLB|60-70%,13,0.629692,0.692308,0.062615,0.668454,0.038762,13.0,2.7751,0.213469,1.544388,,,0.678296,0.225386,sport_probability_bucket,0.229703,raise_trust
Market: spreads,market_type,spreads,9,0.735,0.555556,-0.179444,0.64,-0.095,9.0,-1.9749,-0.219433,1.377233,,,0.583149,0.302313,market_type,0.224588,lower_trust
MLB / spreads,sport_market,MLB|spreads,9,0.735,0.555556,-0.179444,0.64,-0.095,9.0,-1.9749,-0.219433,1.377233,,,0.583149,0.302313,sport_market,0.224588,lower_trust
Probability bucket: 80-90%,probability_bucket,80-90%,5,0.8266,0.4,-0.4266,0.662523,-0.164077,5.0,-2.55,-0.51,1.21,,,0.450639,0.430317,probability_bucket,0.193564,lower_trust
MLB / 80-90%,sport_probability_bucket,MLB|80-90%,5,0.8266,0.4,-0.4266,0.662523,-0.164077,5.0,-2.55,-0.51,1.21,,,0.450639,0.430317,sport_probability_bucket,0.193564,lower_trust
Odds: <1.30,odds_bucket,<1.30,5,0.8266,0.4,-0.4266,0.662523,-0.164077,5.0,-2.55,-0.51,1.21,,,0.450639,0.430317,odds_bucket,0.193564,lower_trust
Market: round/method,market_type,round/method,11,0.6,0.636364,0.036364,0.621053,0.021053,11.0,3.0,0.272727,,,,0.652144,0.232727,market_type,0.19093,raise_trust
Sport: WNBA,sport,WNBA,6,0.6,0.833333,0.233333,0.7,0.1,6.0,4.0,0.666667,,,,0.601369,0.193333,sport,0.178169,raise_trust
WNBA / 60-70%,sport_probability_bucket,WNBA|60-70%,6,0.6,0.833333,0.233333,0.7,0.1,6.0,4.0,0.666667,,,,0.601369,0.193333,sport_probability_bucket,0.178169,raise_trust
