area,area_type,group_value,records,avg_predicted,actual_hit_rate,actual_minus_predicted,smoothed_hit_rate,smoothed_edge,reliability,brier,memory_type
Probability bucket: 50-60%,Probability bucket,50-60%,49,0.54,0.531,-0.01,0.525,-0.015,0.98,0.253,probability_bucket
Probability bucket: 60-70%,Probability bucket,60-70%,13,0.63,0.462,-0.169,0.478,-0.152,0.26,0.285,probability_bucket
Probability bucket: 70-80%,Probability bucket,70-80%,7,0.74,0.571,-0.168,0.529,-0.21,0.14,0.283,probability_bucket
Probability bucket: 80-100%,Probability bucket,80-100%,5,0.923,1.0,0.077,0.667,-0.257,0.1,0.008,probability_bucket
Probability bucket: <50%,Probability bucket,<50%,3,0.327,0.0,-0.327,0.385,0.057,0.06,0.128,probability_bucket
Sport: MLB,Sport,MLB,15,0.545,0.467,-0.078,0.48,-0.065,0.3,0.254,sport_profile
Sport: MiLB,Sport,MiLB,15,0.549,0.533,-0.016,0.52,-0.029,0.3,0.271,sport_profile
Sport: MMA,Sport,MMA,9,0.681,0.667,-0.014,0.579,-0.102,0.18,0.202,sport_profile
Sport: NPB,Sport,NPB,6,0.563,0.333,-0.229,0.438,-0.125,0.12,0.3,sport_profile
Sport: FIFA World Cup,Sport,FIFA World Cup,4,0.64,0.25,-0.39,0.429,-0.211,0.08,0.356,sport_profile
Sport: KBO,Sport,KBO,4,0.574,0.75,0.176,0.571,-0.003,0.08,0.209,sport_profile
Sport: Primera División - Chile,Sport,Primera División - Chile,4,0.532,0.25,-0.282,0.429,-0.104,0.08,0.18,sport_profile
Sport: WNBA,Sport,WNBA,4,0.634,0.75,0.116,0.571,-0.062,0.08,0.226,sport_profile
Sport: Boxing,Sport,Boxing,3,0.707,0.333,-0.373,0.462,-0.245,0.06,0.264,sport_profile
Sport: AFL,Sport,AFL,2,0.717,1.0,0.283,0.583,-0.133,0.04,0.114,sport_profile
Sport: NCAA Baseball,Sport,NCAA Baseball,2,0.53,0.5,-0.03,0.5,-0.03,0.04,0.253,sport_profile
Sport: Veikkausliiga - Finland,Sport,Veikkausliiga - Finland,2,0.561,0.5,-0.061,0.5,-0.061,0.04,0.009,sport_profile
Sport: CFL,Sport,CFL,1,0.546,1.0,0.454,0.545,-0.001,0.02,0.206,sport_profile
Sport: International Twenty20,Sport,International Twenty20,1,0.576,0.0,-0.576,0.455,-0.121,0.02,0.332,sport_profile
Sport: NBA,Sport,NBA,1,0.639,0.0,-0.639,0.455,-0.184,0.02,0.408,sport_profile
Sport: NRL,Sport,NRL,1,0.605,1.0,0.395,0.545,-0.06,0.02,0.156,sport_profile
Sport: One Day Internationals,Sport,One Day Internationals,1,0.52,1.0,0.48,0.545,0.025,0.02,0.23,sport_profile
Sport: UFL,Sport,UFL,1,0.512,1.0,0.488,0.545,0.033,0.02,0.238,sport_profile
Sport: WTA Queen's Club Championships,Sport,WTA Queen's Club Championships,1,0.885,1.0,0.115,0.545,-0.34,0.02,0.013,sport_profile
Read type: Watch,Read type,Watch,52,0.552,0.558,0.005,0.548,-0.004,1.0,0.239,read_profile
Read type: Strong,Read type,Strong,23,0.705,0.522,-0.183,0.515,-0.19,0.46,0.257,read_profile
Read type: Avoid,Read type,Avoid,2,0.253,0.0,-0.253,0.417,0.164,0.04,0.078,read_profile
Source: upload,Source,upload,77,0.59,0.532,-0.058,0.529,-0.061,1.0,0.24,source_profile
